"Energy with dietary fibre, equated 
(kJ)","Protein 
(g)","Ash 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),"Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Zinc (Zn) 
(mg)","Retinol (preformed vitamin A) 
(ug)","Beta-carotene 
(ug)","Thiamin (B1) 
(mg)","Niacin (B3) 
(mg)","Pyridoxine (B6) 
(mg)","Cobalamin (B12) 
(ug)","Folate, natural 
(ug)","Total folates 
(ug)","Vitamin C 
(mg)","Cholecalciferol (D3) 
(ug)","Ergocalciferol (D2) 
(ug)","25-hydroxy cholecalciferol (25-OH D3) 
(ug)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),"Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
1236,10.8,5.8,28.0,0.0,4.4,30.0,34.4,383,0.0,13.97,229,178,1119,11.7,7.47,0,22,0.198,1.1,0.23,0.0,3,3,21,0.0,0,0.0,0.0,2.8,2.85,2.2,1.0,0.39,0.0,0.0,0,0
1280,13.4,11.8,34.8,0.0,7.2,7.7,14.9,330,2.3,17.3,149,300,1950,20.4,4.3,0,15000,0.25,11.6,2.09,0.0,28,28,1,0.0,0,0.0,0.0,38.1,38.14,2.06,6.24,0.44,0.0,0.0,0,0
1004,4.0,3.6,53.1,0.0,2.2,25.3,27.5,1002,0.1,8.32,60,64,431,3.1,1.83,0,112,0.022,1.33,0.16,0.0,6,6,4,0.0,0,0.0,0.0,2.3,2.32,0.62,0.08,0.02,0.0,0.0,0,0
1389,6.0,5.6,33.9,0.0,2.4,29.2,31.6,632,50.7,11.83,259,104,1020,7.2,2.32,0,45,0.216,1.56,0.39,0.0,25,25,0,0.0,0,0.0,0.0,8.8,8.82,5.49,3.69,0.81,11.06,0.0,0,0
1344,12.4,6.0,41.9,0.0,2.4,6.1,8.4,709,2.3,16.32,330,409,1267,26.2,4.7,0,122,0.239,2.13,0.04,0.0,0,0,21,0.0,0,0.0,0.0,0.9,0.91,1.03,1.82,0.0,0.0,0.0,0,0
1782,17.8,7.6,10.5,0.0,2.2,31.5,33.7,931,13.6,66.36,366,499,1788,5.2,4.8,0,762,0.628,4.58,0.44,0.0,10,10,8,0.0,0,0.0,0.0,3.3,3.33,1.73,3.5,0.2,0.0,0.0,0,0
1231,14.3,7.1,53.2,0.0,2.8,0.0,2.8,525,0.0,19.1,255,367,1170,40.3,4.7,0,11,0.176,3.26,0.1,0.0,56,56,1,0.0,0,0.0,0.0,25.2,25.24,1.64,2.77,0.25,0.0,0.0,0,0
1080,23.0,3.4,47.6,0.0,0.6,3.7,4.2,176,2.3,33.53,191,296,770,6.3,2.5,0,142,0.322,1.64,0.6,0.0,57,57,3,0.0,0,0.0,0.0,0.0,0.02,1.03,2.75,1.45,0.0,0.0,0,0
1397,9.0,5.2,14.1,0.0,3.4,54.1,57.5,114,12.4,19.8,214,168,1320,55.8,3.64,0,18,0.046,9.62,0.63,0.0,13,13,1,0.0,0,0.0,0.0,0.0,0.0,2.2,0.6,0.19,0.0,0.0,0,0
2289,29.4,3.4,5.0,0.0,5.0,12.2,17.2,160,0.0,7.0,310,730,650,160.0,4.9,0,35,1.3,6.5,0.4,0.0,162,162,7,0.0,0,0.0,0.0,5.1,5.07,2.0,7.32,4.57,0.0,0.0,0,0
2090,5.8,2.3,20.8,0.0,3.0,25.5,28.5,184,0.0,3.04,183,213,350,1.6,2.15,0,28,0.346,1.3,0.16,0.0,76,76,3,0.0,0,0.0,0.0,0.0,0.0,30.51,0.41,0.0,0.0,0.0,0,0
1096,9.0,7.9,42.5,0.0,4.1,22.3,26.4,1597,0.0,36.8,270,148,1260,4.5,2.69,0,1007,0.177,4.64,1.04,0.0,237,237,2,0.0,0,0.0,0.0,18.3,18.26,1.46,0.7,0.58,0.0,0.0,0,0
1311,14.1,7.7,34.9,0.0,10.3,8.8,19.1,229,0.0,21.14,178,314,2280,6.3,4.33,0,26162,0.33,10.06,2.14,0.0,49,49,1,0.0,0,0.0,0.0,29.1,29.1,1.9,6.5,0.4,0.0,0.0,0,0
1156,10.4,4.5,25.3,0.0,0.6,38.0,38.6,443,6.0,9.71,171,158,1329,4.9,1.19,0,310,0.108,1.14,0.29,0.0,17,17,0,0.0,0,0.0,0.0,1.0,1.04,1.39,0.69,0.15,0.0,0.0,0,0
1314,4.9,6.5,42.6,0.0,19.6,0.8,20.4,1280,2.3,29.25,220,70,955,4.6,3.23,0,1880,0.514,1.0,1.74,0.0,307,307,61,0.0,0,0.0,0.0,7.5,7.48,7.05,1.11,1.03,0.0,0.0,0,0
1320,10.6,8.0,40.3,0.0,1.7,18.7,20.4,1652,1.8,28.12,428,91,1070,3.7,4.7,0,3485,0.754,5.72,2.69,0.0,274,274,32,0.0,0,0.0,0.0,7.5,7.48,7.03,0.51,1.18,0.0,0.0,0,0
1182,9.1,11.7,37.0,0.0,1.7,25.2,26.9,1890,2.3,123.6,220,201,814,4.6,6.18,0,2264,0.513,4.94,0.55,0.0,274,274,50,0.0,0,0.0,0.0,7.5,7.48,3.7,0.68,0.93,0.0,0.0,0,0
1219,9.7,7.1,22.7,0.0,3.2,41.2,44.4,168,2.3,55.0,208,299,2080,6.2,4.5,0,0,0.058,1.35,1.8,0.0,20,20,1,0.0,0,0.0,0.0,4.4,4.43,1.88,0.69,0.08,0.0,0.0,0,0
0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,34,19.9,0.0,1,3,50009,2.6,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,34,4400.0,0.0,1,3,98,1.9,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,34,19.9,0.0,1,3,17,2.6,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
900,11.3,55.4,0.0,0.0,4.3,18.2,22.5,71,44.0,2.5,25,200,250,6.0,0.4,0,24,0.13,3.1,0.1,0.0,14,14,0,0.0,0,0.0,0.0,0.0,0.0,4.38,0.66,0.01,0.0,439.03,0,0
1010,5.9,25.9,9.9,0.0,19.2,20.5,39.7,240,6.0,6.3,76,200,700,6.0,0.91,0,1400,0.13,2.2,0.31,0.0,0,0,0,0.0,0,0.0,0.0,3.7,3.7,1.09,1.79,0.11,0.0,0.0,0,0
364,0.8,27.8,0.4,0.0,0.0,19.8,19.8,6,1.0,2.02,9,29,8267,1.6,0.36,0,0,0.026,0.41,0.02,0.0,3,3,0,0.0,0,0.0,0.0,0.1,0.14,0.05,0.09,0.01,0.25,0.0,0,0
0,0.0,36.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,0.0,36.8,0.2,0.0,0.0,0.0,0.0,8,0.0,3.72,2,5,16500,0.2,0.42,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1449,84.4,1.8,0.0,0.0,0.0,0.0,0.0,250,0.0,2.1,15,32,7,6.0,0.4,0,0,0.0,0.0,0.0,0.0,30,30,0,0.0,0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0,0
1507,75.2,1.0,0.6,0.0,0.0,13.2,13.2,142,3.0,5.2,25,260,100,39.7,0.85,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1332,0.0,3.1,5.9,0.0,0.0,74.5,74.5,14,0.0,0.3,5,102,43,1.1,0.1,0,0,0.0,0.0,0.77,0.0,25,25,0,0.0,0,0.0,0.0,0.2,0.25,0.18,0.06,0.06,0.0,0.0,0,0
231,0.0,0.0,0.0,0.0,14.4,0.0,14.4,3,0.2,0.05,1,0,0,0.0,0.01,0,0,0.003,0.13,0.01,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1203,0.1,0.3,0.0,34.4,12.6,0.0,12.6,11,0.2,0.12,12,6,148,0.0,0.11,0,0,0.011,0.42,0.03,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0,0
1126,36.4,4.8,26.9,0.0,0.0,6.3,6.3,18,5.5,3.5,95,860,1470,1.0,18.0,0,0,0.59,28.0,0.82,0.0,2340,2340,0,0.0,0,0.0,0.0,0.0,0.0,0.75,0.01,0.0,0.0,0.0,0,0
174,0.5,0.0,0.0,4.5,0.2,0.0,2.1,4,0.0,0.01,9,23,55,0.0,0.0,0,0,0.0,0.0,0.03,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
152,0.4,0.1,0.0,3.6,0.0,0.0,2.3,4,0.0,0.0,6,16,36,0.0,0.0,0,0,0.0,0.0,0.03,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
126,0.3,0.0,0.0,3.6,0.0,0.0,1.0,3,0.0,0.01,5,15,28,0.0,0.0,0,0,0.0,0.0,0.03,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
128,0.3,0.0,0.0,3.0,0.0,0.0,2.2,4,0.0,0.0,5,12,30,0.0,0.0,0,0,0.0,0.0,0.03,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,0.2,0.0,0.0,2.1,0.0,0.0,2.2,3,0.0,0.0,5,12,27,0.0,0.0,0,0,0.0,0.0,0.03,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
892,0.0,0.0,0.0,30.7,0.1,0.0,0.1,1,0.0,0.05,0,0,1,0.0,0.02,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
302,0.0,0.0,0.0,10.3,0.3,0.0,0.3,1,0.0,0.06,1,0,1,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
209,0.0,0.0,0.0,3.9,5.6,0.0,5.6,3,0.0,0.02,2,12,56,0.0,0.01,0,0,0.0,0.0,0.02,0.0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
332,0.3,0.3,0.0,11.0,0.2,0.0,0.2,7,1.7,0.15,13,35,117,0.0,0.07,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
330,0.3,0.2,0.0,10.9,0.4,0.0,0.4,7,1.5,0.17,12,26,91,0.0,0.07,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
321,0.2,0.3,0.0,10.7,0.2,0.0,0.2,7,0.0,0.17,16,32,91,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
342,0.2,0.3,0.0,11.5,0.2,0.0,0.2,6,2.2,0.18,15,32,115,0.0,0.09,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
335,0.2,0.3,0.0,11.2,0.2,0.0,0.2,7,1.8,0.17,14,32,111,0.0,0.08,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
120,0.3,0.3,0.0,3.9,0.2,0.0,0.2,8,1.5,0.0,15,34,113,0.0,0.09,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
338,0.2,0.3,0.0,10.3,2.0,0.0,2.0,6,2.2,0.18,15,33,117,0.0,0.09,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
289,0.2,0.2,0.0,9.4,0.7,0.0,0.7,8,2.0,0.08,11,27,51,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
296,0.2,0.2,0.0,9.9,0.1,0.0,0.1,8,0.0,0.09,8,18,56,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
270,0.2,0.2,0.0,9.0,0.2,0.0,0.2,9,0.0,0.21,8,25,57,0.0,0.08,0,0,0.0,0.0,0.0,0.0,0,0,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
310,0.3,0.1,0.0,10.3,0.3,0.0,0.3,7,0.0,0.17,11,25,52,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
292,0.2,0.1,0.0,9.6,0.4,0.0,0.4,10,1.5,0.1,20,22,44,0.0,0.08,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
301,0.3,0.1,0.0,10.0,0.2,0.0,0.2,8,0.1,0.16,10,23,53,0.0,0.08,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
107,0.2,0.2,0.0,3.4,0.3,0.0,0.3,9,0.4,0.15,12,25,56,0.0,0.08,0,0,0.0,0.01,0.06,0.0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
306,0.2,0.1,0.0,9.8,1.0,0.0,1.0,7,0.0,0.19,9,20,35,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
497,0.4,0.4,0.0,8.4,14.7,0.0,14.7,15,1.8,0.19,19,48,101,0.0,0.09,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
600,0.2,0.3,0.0,13.6,12.4,0.0,12.4,5,0.0,0.19,10,18,82,0.0,0.06,0,0,0.0,0.0,0.08,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
435,0.1,0.2,0.0,14.2,1.2,0.0,1.2,5,0.0,0.06,6,12,39,0.0,0.06,0,0,0.0,0.0,0.05,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
577,0.2,0.2,0.0,13.6,11.1,0.0,11.1,4,0.0,0.1,6,13,53,0.0,0.06,0,0,0.0,0.0,0.05,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1568,85.0,2.5,1.8,0.0,1.3,0.3,1.6,420,240.0,0.49,78,240,480,67.0,0.25,7,8,0.1,0.0,0.11,4.7,123,123,0,0.6,0,0.0,0.6,0.0,0.0,1.23,0.32,0.02,0.0,31.55,0,61
261,14.2,0.4,0.3,0.0,0.2,0.0,0.3,71,40.6,0.09,14,40,80,11.2,0.04,1,1,0.017,0.0,0.02,0.8,20,20,0,0.1,0,0.0,0.1,0.0,0.0,0.2,0.05,0.0,0.0,5.26,0,10
1335,22.1,9.4,27.7,0.0,1.5,9.0,10.5,170,4.0,30.0,590,750,4400,10.0,7.5,0,29,0.0,1.7,0.3,0.0,62,62,0,0.0,0,0.0,0.0,0.1,0.47,9.17,0.45,0.04,0.0,0.0,150,0
1666,12.7,4.6,9.1,0.0,47.3,13.9,61.2,738,18.0,18.0,80,420,825,6.2,1.8,556,54,0.2,12.5,2.0,0.0,50,50,44,13.5,0,0.0,13.5,0.2,0.23,6.62,0.22,0.1,0.0,487.18,10,10
1574,5.3,1.3,5.8,0.0,81.0,2.2,83.2,38,0.0,14.0,120,160,430,1.6,1.4,0,0,0.0,0.0,0.0,0.0,11,11,0,0.0,0,0.0,0.0,0.0,0.07,1.38,0.43,0.03,0.0,0.0,38,0
344,3.4,0.7,0.3,0.0,9.6,0.1,9.7,102,21.6,0.8,16,92,158,1.3,0.39,39,16,0.021,0.24,0.02,0.4,5,5,0,0.1,0,0.0,0.09,0.1,0.09,2.26,0.08,0.02,0.22,94.94,2,9
395,4.1,1.0,0.8,0.0,9.1,1.2,10.3,162,22.5,1.62,16,117,203,1.7,0.46,87,21,0.04,1.34,0.2,0.4,9,9,4,1.3,0,0.0,1.3,0.1,0.1,2.69,0.08,0.02,0.21,134.91,1,10
1508,5.6,2.3,1.5,0.0,74.3,2.0,76.3,41,4.0,1.9,150,190,690,2.0,2.5,0,3,0.04,0.5,0.02,0.0,7,7,0,0.0,0,0.0,0.0,2.1,2.1,2.88,0.11,0.0,0.0,224.85,37,0
356,3.5,0.8,0.1,0.0,10.1,0.1,10.2,101,20.6,0.15,20,94,180,1.3,0.48,38,16,0.022,0.27,0.02,0.3,4,4,0,0.1,0,0.0,0.08,0.2,0.21,2.35,0.06,0.02,0.22,109.1,2,9
588,18.0,7.3,20.6,0.0,3.4,0.2,3.6,150,4.6,2.8,320,360,3500,4.1,0.29,0,0,0.0,25.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.1,0.09,0.11,0.09,0.01,0.0,3.84,3488,0
5,0.2,0.1,0.2,0.0,0.0,0.0,0.0,3,0.8,0.03,4,3,31,0.0,0.01,0,0,0.0,0.22,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,31,0
522,18.0,7.3,20.6,0.0,2.3,0.2,2.5,150,4.6,2.8,320,360,3500,4.1,0.29,0,0,0.0,25.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.1,0.09,0.11,0.09,0.01,0.0,3.84,160,0
5,0.2,0.1,0.2,0.0,0.0,0.0,0.0,3,0.8,0.03,4,3,31,0.0,0.01,0,0,0.0,0.22,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1,0
1645,13.1,5.0,3.6,0.0,38.3,7.8,56.1,340,58.0,0.69,73,540,1300,5.4,1.0,0,0,0.0,4.8,0.0,0.3,6,6,3,0.3,0,0.0,0.27,0.0,0.0,11.9,0.05,0.0,0.0,0.0,500,8
82,0.6,0.2,0.2,0.0,1.9,0.4,2.8,18,3.6,0.04,5,27,65,0.3,0.05,0,0,0.0,0.24,0.0,0.0,0,0,0,0.0,0,0.0,0.01,0.0,0.0,0.59,0.0,0.0,0.0,0.0,25,0
40,1.7,1.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,37,29,520,0.0,0.06,0,0,0.0,5.3,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.11,0.09,0.01,0.0,3.84,290,0
195,2.8,0.7,0.0,0.0,3.4,0.0,3.4,95,21.0,0.0,16,86,220,2.0,0.37,24,0,0.0,0.0,0.0,0.3,0,0,0,0.0,0,0.0,0.06,0.0,0.0,1.72,0.08,0.01,0.0,42.52,68,9
8,0.3,0.2,0.0,0.0,0.0,0.0,0.0,3,0.6,0.0,8,6,104,0.0,0.02,0,0,0.0,1.06,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.77,58,0
606,0.0,0.1,0.0,0.0,37.3,0.0,37.3,3,1.0,0.0,1,3,15,0.0,0.0,0,2,0.0,1.7,0.02,0.0,10,10,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
142,0.0,0.0,0.0,0.0,8.7,0.0,8.7,2,0.8,0.0,1,1,4,0.0,0.0,0,0,0.0,0.4,0.0,0.0,2,2,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
659,0.2,0.2,0.0,0.0,40.2,0.0,40.2,4,1.0,0.1,2,5,32,0.0,0.0,0,4,0.0,1.7,0.02,0.0,10,10,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
154,0.0,0.0,0.0,0.0,9.4,0.0,9.4,2,0.8,0.03,1,1,8,0.0,0.0,0,1,0.0,0.4,0.0,0.0,2,2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
731,0.1,0.1,0.0,0.0,45.0,0.0,45.0,6,1.0,0.33,3,5,54,0.0,0.06,0,0,0.0,0.16,0.04,0.0,1,1,74,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
151,0.0,0.0,0.0,0.0,9.3,0.0,9.3,2,0.8,0.07,1,1,11,0.0,0.02,0,0,0.0,0.03,0.01,0.0,0,0,15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
137,0.1,0.2,0.0,0.0,7.8,0.4,8.2,2,3.0,0.0,2,2,47,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,31,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
182,0.0,0.1,0.1,0.0,11.3,0.0,11.3,8,4.0,0.25,6,13,20,0.1,0.1,0,27,0.009,0.09,0.05,0.0,1,1,16,0.0,0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0,0
163,0.2,0.2,0.0,0.0,9.6,0.0,9.6,8,4.0,0.05,5,6,72,0.5,0.01,0,35,0.0,0.0,0.01,0.0,8,8,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
121,0.2,0.3,0.2,0.0,7.0,0.0,7.0,6,4.0,0.05,6,7,120,0.5,0.02,0,2,0.0,0.25,0.0,0.0,32,32,33,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162,0.2,0.2,0.0,0.0,9.3,0.0,9.3,5,0.0,0.0,4,5,94,0.0,0.01,0,0,0.0,0.0,0.0,0.0,0,0,27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
115,0.6,0.2,2.5,0.0,1.8,0.0,1.8,20,0.0,0.3,9,16,120,0.4,0.1,0,10,0.038,0.19,0.08,0.0,8,8,46,0.0,0,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0,0
122,0.8,0.3,4.1,0.0,1.2,0.0,1.2,22,0.0,0.3,11,18,150,0.4,0.1,0,28,0.028,0.19,0.04,0.0,6,6,45,0.0,0,0.0,0.0,0.2,0.21,0.0,0.0,0.0,0.0,0.0,0,0
112,0.8,0.5,0.3,0.0,5.4,0.0,5.4,7,0.0,0.04,7,14,145,0.2,0.03,0,10,0.11,0.0,0.0,0.0,51,51,69,0.0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0,0
146,0.6,0.3,0.2,0.0,7.7,0.0,7.7,9,0.0,0.0,9,16,160,0.0,0.04,0,38,0.04,0.0,0.0,0.0,26,26,82,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
54,0.2,0.5,0.0,0.0,3.2,0.0,3.2,12,0.0,0.0,9,9,200,0.0,0.02,0,0,0.0,0.0,0.0,0.0,0,0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,6,0.2,0.0,4,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
152,0.0,0.1,0.0,0.0,9.3,0.0,9.3,5,0.0,0.06,4,1,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
206,0.0,0.1,0.0,0.0,12.3,0.0,12.3,1,0.8,0.0,0,10,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0
206,0.0,0.1,0.0,0.0,12.3,0.0,12.3,1,0.8,0.0,0,10,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,0.8,0.0,0,10,0,0.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,0.8,0.0,0,10,0,0.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
182,0.1,0.3,0.0,0.0,10.8,0.0,10.8,9,0.0,0.0,0,10,0,0.0,0.0,0,0,0.0,8.08,2.27,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0
182,0.1,0.3,0.0,0.0,10.8,0.0,10.8,9,0.0,0.0,0,10,0,0.0,0.0,0,0,0.0,7.6,2.5,0.6,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0
142,0.0,0.1,0.0,0.0,8.8,0.0,8.8,2,1.7,0.0,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2,1.7,0.0,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
28,0.0,0.0,0.1,0.3,0.8,0.1,0.9,0,0.0,0.0,0,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
142,0.0,0.1,0.0,0.0,8.8,0.0,8.8,1,0.7,0.01,0,0,0,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
